Accident_Index,1st_Road_Class,1st_Road_Number,2nd_Road_Class,2nd_Road_Number,Accident_Severity,Carriageway_Hazards,Date,Day_of_Week,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Control,Junction_Detail,Latitude,Light_Conditions,Local_Authority_(District),Local_Authority_(Highway),Location_Easting_OSGR,Location_Northing_OSGR,Longitude,LSOA_of_Accident_Location,Number_of_Casualties,Number_of_Vehicles,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Year,InScotland
200501BS70023,A,3220.0,Unclassified,0.0,Slight,None,13/02/2005,Sunday,1.0,Give way or uncontrolled,Crossroads,51.485515,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526020.0,177850.0,-0.186415,E01002896,2,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,20:05,Urban,Fine no high winds,2005,No
200501BS70025,,0.0,Unclassified,0.0,Slight,None,1/2/2005,Tuesday,1.0,Give way or uncontrolled,Crossroads,51.492515,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527270.0,178660.0,-0.16813,E01002862,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,16:44,Urban,Raining no high winds,2005,No
200501BS70027,A,4206.0,B,415.0,Slight,None,17/02/2005,Thursday,2.0,Give way or uncontrolled,Other junction,51.509515,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525190.0,180500.0,-0.197423,E01002884,1,2,0.0,1.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,18:00,Urban,Raining no high winds,2005,No
200501BS70028,A,3216.0,,0.0,Slight,None,4/2/2005,Friday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.493527,,Kensington and Chelsea,Kensington and Chelsea,527960.0,178790.0,-0.158149,E01002859,1,1,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30,10:15,Urban,Fine no high winds,2005,No
200501BS70029,B,450.0,,0.0,Serious,None,15/02/2005,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.521709,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524100.0,181830.0,-0.212653,E01002905,1,1,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30,18:15,Urban,Fine no high winds,2005,No
200501BS70030,A,3220.0,A,3217.0,Slight,None,16/02/2005,Wednesday,1.0,Auto traffic signal,Crossroads,51.481575,,Kensington and Chelsea,Kensington and Chelsea,526360.0,177420.0,-0.181674,E01002913,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,10:35,Urban,Fine no high winds,2005,No
200501BS70031,B,412.0,Unclassified,0.0,Slight,None,18/02/2005,Friday,1.0,Auto traffic signal,Crossroads,51.516656,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524600.0,181280.0,-0.205645,E01002831,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,17:36,Urban,Raining no high winds,2005,No
200501BS70032,,0.0,A,315.0,Slight,None,15/02/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.501941,,Kensington and Chelsea,Kensington and Chelsea,525710.0,179670.0,-0.190229,E01002889,1,1,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,16:05,Urban,Fine no high winds,2005,No
200501BS70033,C,0.0,C,0.0,Slight,None,10/2/2005,Thursday,1.0,Give way or uncontrolled,T or staggered junction,51.497911,,Kensington and Chelsea,Kensington and Chelsea,526450.0,179240.0,-0.179727,E01002892,1,1,0.0,1.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,13:56,Urban,Raining no high winds,2005,No
200501BS70034,B,450.0,Unclassified,0.0,Slight,None,16/02/2005,Wednesday,1.0,Give way or uncontrolled,Crossroads,51.518806,,Kensington and Chelsea,Kensington and Chelsea,524220.0,181510.0,-0.211037,E01002878,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,14:10,Urban,Fine no high winds,2005,No
200501BS70036,,0.0,Unclassified,0.0,Slight,None,21/02/2005,Monday,3.0,Give way or uncontrolled,Mini-roundabout,51.49724,,Kensington and Chelsea,Kensington and Chelsea,525430.0,179140.0,-0.194449,E01002813,1,2,0.0,0.0,Metropolitan Police,Dry,Roundabout,None,30,10:10,Urban,Fine no high winds,2005,No
200501BS70037,,0.0,Unclassified,0.0,Slight,None,20/02/2005,Sunday,1.0,Give way or uncontrolled,T or staggered junction,51.506807,,Kensington and Chelsea,Kensington and Chelsea,524430.0,180180.0,-0.208481,E01002871,1,1,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,14:50,Urban,Raining no high winds,2005,No
200501BS70038,A,3220.0,,0.0,Slight,None,22/02/2005,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.481822,,Kensington and Chelsea,Kensington and Chelsea,526860.0,177460.0,-0.174463,E01002840,1,3,0.0,0.0,Metropolitan Police,Wet or damp,Dual carriageway,None,30,14:43,Urban,Fine no high winds,2005,No
200501BS70039,A,3220.0,Unclassified,0.0,Slight,None,21/02/2005,Monday,1.0,Give way or uncontrolled,T or staggered junction,51.49164,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525150.0,178510.0,-0.198704,E01002848,2,2,0.0,4.0,Metropolitan Police,Dry,Single carriageway,None,30,17:20,Urban,Fine no high winds,2005,No
200501BS70040,A,3220.0,,0.0,Slight,None,20/02/2005,Sunday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.494121,,Kensington and Chelsea,Kensington and Chelsea,524900.0,178780.0,-0.202208,E01002814,1,2,0.0,5.0,Metropolitan Police,Dry,One way street,None,30,12:40,Urban,Fine no high winds,2005,No
200501BS70041,A,315.0,,0.0,Slight,None,20/02/2005,Sunday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.501596,,Westminster,Westminster,527650.0,179680.0,-0.16229,E01004689,2,1,0.0,4.0,Metropolitan Police,Dry,Single carriageway,None,30,13:55,Urban,Fine no high winds,2005,No
200501BS70042,A,308.0,,0.0,Slight,None,26/02/2005,Saturday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.494146,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527210.0,178840.0,-0.168929,E01002821,2,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,22:25,Urban,Fine no high winds,2005,No
200501BS70043,C,0.0,Unclassified,0.0,Slight,None,28/02/2005,Monday,1.0,Give way or uncontrolled,Crossroads,51.491273,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525990.0,178490.0,-0.186618,E01002836,1,4,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,18:14,Urban,Fine no high winds,2005,No
200501BS70044,A,3217.0,A,3220.0,Slight,None,24/02/2005,Thursday,1.0,Auto traffic signal,Crossroads,51.481575,,Kensington and Chelsea,Kensington and Chelsea,526360.0,177420.0,-0.181674,E01002913,1,2,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,16:30,Urban,Fine no high winds,2005,No
200501BS70045,C,0.0,Unclassified,0.0,Slight,None,1/3/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.487215,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526860.0,178060.0,-0.174248,E01002910,1,1,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,19:00,Urban,Raining no high winds,2005,No
200501BS70046,,0.0,,0.0,Slight,None,23/02/2005,Wednesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.508707,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524780.0,180400.0,-0.203363,E01002883,1,1,0.0,4.0,Metropolitan Police,Dry,Single carriageway,None,30,17:13,Urban,Fine no high winds,2005,No
200501BS70047,A,4.0,C,0.0,Slight,None,26/02/2005,Saturday,1.0,Give way or uncontrolled,Crossroads,51.495084,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526230.0,178920.0,-0.183009,E01002887,1,2,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,17:00,Urban,Raining no high winds,2005,No
200501BS70048,A,3212.0,C,0.0,Slight,None,24/02/2005,Thursday,1.0,Auto traffic signal,T or staggered junction,51.482582,,Kensington and Chelsea,Kensington and Chelsea,527080.0,177550.0,-0.171264,E01002844,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Dual carriageway,None,30,9:15,Urban,Snowing no high winds,2005,No
200501BS70049,A,308.0,C,0.0,Slight,None,25/02/2005,Friday,1.0,Give way or uncontrolled,Crossroads,51.486931,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526520.0,178020.0,-0.179156,E01002911,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,0:11,Urban,Raining no high winds,2005,No
200501BS70050,A,402.0,A,4204.0,Slight,None,23/02/2005,Wednesday,1.0,Give way or uncontrolled,T or staggered junction,51.509125,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525330.0,180460.0,-0.195421,E01002827,1,3,0.0,5.0,Metropolitan Police,Dry,One way street,None,30,19:00,Urban,Fine no high winds,2005,No
200501BS70051,A,3220.0,Unclassified,0.0,Slight,None,26/02/2005,Saturday,1.0,Give way or uncontrolled,T or staggered junction,51.493285,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525430.0,178700.0,-0.194606,E01002851,1,1,0.0,0.0,Metropolitan Police,Wet or damp,One way street,None,30,1:48,Urban,Other,2005,No
200501BS70052,,0.0,,0.0,Slight,None,23/02/2005,Wednesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.499569,,Kensington and Chelsea,Kensington and Chelsea,524240.0,179370.0,-0.211503,E01002867,1,1,0.0,0.0,Metropolitan Police,Snow,Single carriageway,None,30,7:58,Urban,Snowing no high winds,2005,No
200501BS70053,B,304.0,C,0.0,Slight,None,25/02/2005,Friday,1.0,Auto traffic signal,More than 4 arms (not roundabout),51.49369,,Kensington and Chelsea,Kensington and Chelsea,526840.0,178780.0,-0.174277,E01002822,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,14:55,Urban,Fine no high winds,2005,No
200501BS70054,A,3217.0,Unclassified,0.0,Slight,None,25/02/2005,Friday,1.0,Give way or uncontrolled,T or staggered junction,51.490178,,Kensington and Chelsea,Kensington and Chelsea,527670.0,178410.0,-0.162461,E01002861,1,2,0.0,1.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,8:22,Urban,Snowing no high winds,2005,No
200501BS70055,A,4.0,Unclassified,0.0,Slight,None,25/02/2005,Friday,1.0,Give way or uncontrolled,T or staggered junction,51.494981,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526290.0,178910.0,-0.182149,E01002835,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Dual carriageway,None,30,4:38,Urban,Snowing no high winds,2005,No
200501BS70056,A,4206.0,C,0.0,Slight,None,4/3/2005,Friday,1.0,Auto traffic signal,More than 4 arms (not roundabout),51.514966,,Westminster,Westminster,525330.0,181110.0,-0.19519,E01004653,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,13:20,Urban,Raining no high winds,2005,No
200501BS70058,A,308.0,C,0.0,Slight,None,1/3/2005,Tuesday,1.0,Auto traffic signal,Crossroads,51.493429,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527200.0,178760.0,-0.169101,E01002821,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,0:30,Urban,Fine no high winds,2005,No
200501BS70060,A,315.0,C,0.0,Slight,None,28/02/2005,Monday,1.0,Give way or uncontrolled,T or staggered junction,51.50134,Darkness - lights lit,Westminster,Westminster,526390.0,179620.0,-0.180455,E01002891,1,2,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,19:30,Urban,Snowing no high winds,2005,No
200501BS70061,A,304.0,Unclassified,0.0,Slight,None,1/3/2005,Tuesday,1.0,Give way or uncontrolled,Private drive or entrance,51.4829,,Kensington and Chelsea,Kensington and Chelsea,526060.0,177560.0,-0.185942,E01002912,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,12:03,Urban,Raining no high winds,2005,No
200501BS70062,A,3220.0,A,3220.0,Slight,None,14/02/2005,Monday,1.0,Auto traffic signal,Crossroads,51.481989,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526920.0,177480.0,-0.173592,E01002840,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,23:03,Urban,Fine no high winds,2005,No
200501BS70063,A,3220.0,Unclassified,0.0,Slight,None,2/2/2005,Wednesday,1.0,Give way or uncontrolled,T or staggered junction,51.481746,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526800.0,177450.0,-0.17533,E01002840,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,22:19,Urban,Raining no high winds,2005,No
200501BS70065,A,308.0,Unclassified,0.0,Slight,None,3/3/2005,Thursday,1.0,Give way or uncontrolled,T or staggered junction,51.486493,,Kensington and Chelsea,Kensington and Chelsea,526470.0,177970.0,-0.179894,E01002912,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,14:30,Urban,Fine no high winds,2005,No
200501BS70066,A,315.0,,0.0,Serious,None,1/3/2005,Tuesday,2.0,Data missing or out of range,Not at junction or within 20 metres,51.497552,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524830.0,179160.0,-0.203081,E01002814,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,19:15,Urban,Raining no high winds,2005,No
200501BS70067,A,315.0,Unclassified,0.0,Slight,None,1/3/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.496259,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524580.0,179010.0,-0.206734,E01002814,1,2,0.0,4.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,18:31,Urban,Raining no high winds,2005,No
200501BS70068,A,308.0,A,4.0,Slight,None,5/3/2005,Saturday,1.0,Auto traffic signal,T or staggered junction,51.496399,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527180.0,179090.0,-0.16927,E01002821,4,2,0.0,5.0,Metropolitan Police,Dry,Dual carriageway,None,30,2:58,Urban,Fine no high winds,2005,No
200501BS70069,,0.0,A,308.0,Slight,None,1/3/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.49089,,Kensington and Chelsea,Kensington and Chelsea,526900.0,178470.0,-0.173525,E01002822,1,1,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,10:40,Urban,Fine no high winds,2005,No
200501BS70070,B,412.0,Unclassified,0.0,Slight,None,8/3/2005,Tuesday,1.0,Auto traffic signal,Crossroads,51.516658,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524590.0,181280.0,-0.205789,E01002831,1,1,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,23:40,Urban,Fine no high winds,2005,No
200501BS70072,,0.0,Unclassified,0.0,Slight,None,3/3/2005,Thursday,1.0,Give way or uncontrolled,Mini-roundabout,51.515582,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524580.0,181160.0,-0.205975,E01002833,1,1,0.0,0.0,Metropolitan Police,Wet or damp,Roundabout,None,30,21:07,Urban,Fine no high winds,2005,No
200501BS70073,B,415.0,Unclassified,0.0,Serious,None,5/3/2005,Saturday,1.0,Give way or uncontrolled,T or staggered junction,51.510995,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525000.0,180660.0,-0.200102,E01002882,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,18:40,Urban,Raining no high winds,2005,No
200501BS70074,A,4.0,,0.0,Slight,None,5/3/2005,Saturday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.49361,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525180.0,178730.0,-0.198194,E01002814,1,1,0.0,0.0,Metropolitan Police,Dry,Dual carriageway,None,30,16:55,Urban,Fine no high winds,2005,No
200501BS70075,A,3217.0,Unclassified,0.0,Slight,None,8/3/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.482775,,Kensington and Chelsea,Kensington and Chelsea,526620.0,177560.0,-0.177882,E01002840,1,1,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,13:36,Urban,Fine no high winds,2005,No
200501BS70076,A,402.0,A,4204.0,Slight,None,6/3/2005,Sunday,1.0,Auto traffic signal,Crossroads,51.509377,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525410.0,180490.0,-0.194258,E01002827,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,1:05,Urban,Fine no high winds,2005,No
200501BS70077,B,450.0,Unclassified,0.0,Slight,None,8/3/2005,Tuesday,1.0,Give way or uncontrolled,Crossroads,51.514716,,Kensington and Chelsea,Kensington and Chelsea,524430.0,181060.0,-0.208171,E01002874,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30,12:20,Urban,Fine no high winds,2005,No
200501BS70078,A,3220.0,C,0.0,Slight,None,8/3/2005,Tuesday,1.0,Auto traffic signal,Crossroads,51.502577,,Kensington and Chelsea,Kensington and Chelsea,524050.0,179700.0,-0.214123,E01002869,1,2,0.0,5.0,Metropolitan Police,Dry,Single carriageway,None,30,8:56,Urban,Fine no high winds,2005,No
200501BS70079,A,3220.0,A,308.0,Slight,None,9/3/2005,Wednesday,1.0,Auto traffic signal,Crossroads,51.483253,,Kensington and Chelsea,Kensington and Chelsea,526090.0,177600.0,-0.185496,E01002912,1,3,0.0,5.0,Metropolitan Police,Dry,Single carriageway,Auto signal part defective,30,16:55,Urban,Fine no high winds,2005,No
200501BS70080,A,4204.0,Unclassified,0.0,Slight,None,9/3/2005,Wednesday,1.0,Give way or uncontrolled,T or staggered junction,51.507588,,Kensington and Chelsea,Kensington and Chelsea,525370.0,180290.0,-0.194905,E01002827,2,3,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30,15:35,Urban,Fine no high winds,2005,No
200501BS70082,A,3218.0,,0.0,Slight,None,14/03/2005,Monday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.487281,,Kensington and Chelsea,Kensington and Chelsea,525350.0,178030.0,-0.195995,E01001883,1,1,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30,17:35,Urban,Fine no high winds,2005,No
